species,location,vert_47,vert_48,vert_49,vert_50,vert_51,vert_52,vert_53,vert_n,vert_mean,dorsal_40,dorsal_41,dorsal_42,dorsal_43,dorsal_44,dorsal_45,dorsal_46,dorsal_47,dorsal_n,dorsal_mean,anal_27,anal_28,anal_29,anal_30,anal_31,anal_32,anal_33,anal_n,anal_mean
tapeinosoma,Gulf of Aqaba,,,,3,21,21,1,46,51.4,,,,,5,25,15,1,46,45.3,,,,4,26,15,1,46,31.3
tapeinosoma,Seychelles,,,,,5,13,1,19,51.8,,,,,,9,8,2,19,45.6,,,,,6,13,,19,31.7
tapeinosoma,Aldabra,,,,,5,11,2,18,51.8,,,,,,3,14,1,18,45.9,,,,,4,12,2,18,31.9
tapeinosoma,Africa,,,,,3,3,1,7,51.7,,,,,,3,5,1,9,45.8,,,,,3,4,2,9,31.9
tapeinosoma,Chagos Is.,,,,,1,1,1,3,52,,,,,,,2,1,3,46.3,,,,,,3,,3,32
tapeinosoma,Cocos-Keeling Is.,,,1,4,2,,,7,50.1,,,,,4,3,,,7,44.4,,,,3,3,1,,7,30.7
tapeinosoma,Indonesia,,,,3,4,,,7,50.6,,,,1,3,3,,,7,44.3,,,,3,3,1,,7,30.7
tapeinosoma,S. China Sea,,,,3,1,,,4,50.2,,,,,4,,,,4,44,,,,2,2,,,4,30.5
tapeinosoma,Mariana Is.,,,2,2,1,,,5,49.8,,,,2,3,,,,5,43.6,,,,4,1,,,5,30.2
tapeinosoma,Palau-Yap Is.,,,8,12,3,,,23,49.8,,,,6,13,4,,,23,43.9,,,5,15,3,,,23,29.9
tapeinosoma,Kapingamarangi,,,2,3,,,,5,49.6,,,,2,3,,,,5,43.6,,,2,2,1,,,5,29.8
tapeinosoma,Ponape Is.,,,1,3,,1,,5,50.2,,,,3,1,1,,,5,43.6,,,3,1,1,,,5,29.6
tapeinosoma,Marshall Is.,,,1,12,1,,,14,50,,,,2,12,,,,14,43.9,,,3,9,1,1,,14,30
tapeinosoma,Gilbert Is.,,1,3,8,1,,,13,49.7,,,1,4,8,,,,13,43.6,,,3,9,1,,,13,29.8
tapeinosoma,Line Is.,,,16,19,2,,,37,49.6,,,,19,18,1,,,38,43.6,,,19,18,1,,,38,29.6
tapeinosoma,Marquesas Is.,,7,14,2,,,,23,48.8,,,7,14,2,,,,23,42.8,,4,13,6,,,,23,29.1
tapeinosoma,Pitcairn Group,,,,,2,,,2,51,,,,,,2,,,2,45,,,,,,2,,2,32
tapeinosoma,Tuamotu-Society Is.,,2,4,8,3,,,17,49.7,,,1,10,4,2,,,17,43.4,,,3,7,6,,,16,30.2
tapeinosoma,New Guinea,,,,7,2,,,9,50.2,,,,2,6,1,,,9,43.9,,,1,7,1,,,9,30
tapeinosoma,E. Australia,,,,3,3,3,1,10,51.2,,,,1,1,6,2,1,10,44.9,,,,3,4,3,,10,31
tapeinosoma,Lord Howe Is.,,,,2,6,6,3,17,51.6,,,,,3,2,9,3,17,45.7,,,,2,7,6,2,17,31.5
goslinei,Hawaiian Is.,,5,24,6,,,,35,49,,,8,23,5,1,,,37,43,,8,17,8,2,,,35,29.1
azaleus,Gulf of Calif.,16,89,28,2,,,,135,48.1,2,28,87,19,1,,,,137,41.9,4,43,77,13,,,,137,28.7
azaleus,Galapagos ls.,8,27,16,,,,,51,48.2,,8,34,11,,,,,53,42.1,,14,33,6,,,,53,28.8
azaleus,Panama,3,10,2,,,,,15,47.9,1,5,8,1,,,,,15,41.6,2,3,8,2,,,,15,28.7
azaleus,Colombia,3,3,3,,,,,9,48,,7,6,1,,,,,14,41.6,,7,5,2,,,,14,28.6
